town,ihp_total,ha_amount,on_amount,pa_total,hmgp_total,fema_total
Calais,0,0,0,0,0,0
Addison,512,512,0,16146,0,16658
Albany,2372,2372,0,480122,0,482494
Alburgh,0,0,0,0,0,0
Andover,31223,30434,789,266527,0,297750
Arlington,246511,238852,7659,179606,0,426117
Weathersfield,102157,98350,3806,485294,0,587450
Athens,27788,27788,0,131298,0,159086
Averill,0,0,0,0,0,0
Bakersfield,0,0,0,0,0,0
Baltimore,0,0,0,15335,0,15335
Barnard,108980,108980,0,1545838,0,1654818
Barnet,3996,3996,0,55417,0,59413
Barre,52773,49753,3020,128999,286000,467772
Barton,8456,6846,1609,22315,0,30770
Canaan,0,0,0,0,0,0
Rockingham,221485,195308,26177,1461653,196000,1879138
Mount Holly,46834,46634,200,443275,0,490109
Belvidere,0,0,0,0,0,0
Bennington,296337,264104,32233,1770202,0,2066539
Benson,3080,2880,200,145416,0,148496
Berlin,885420,821081,64340,447723,0,1333144
Bethel,838388,787376,51012,5206254,564000,6608642
Bolton,21414,21014,400,105950,75000,202364
Castleton,37857,35659,2198,115262,0,153119
Winhall,26297,26297,0,183850,0,210147
Bradford,2567,2567,0,3420,0,5987
Braintree,228284,224710,3574,2005277,0,2233561
Brandon,116510,114373,2137,578049,122000,816559
Brattleboro,699522,628571,70951,1740906,236000,2676428
Bridgewater,628942,616070,12872,1842172,918000,3389114
Bridport,0,0,0,487360,0,487360
Brighton,0,0,0,27850,0,27850
Bristol,6567,6567,0,39909,0,46476
Brookfield,49980,49980,0,62556,0,112536
Brookline,38900,38003,897,38593,0,77493
Brownington,0,0,0,710762,0,710762
West Windsor,101179,99242,1937,668249,0,769428
Burlington,14273,14073,200,14851,154000,183124
Cabot,8677,8677,0,0,0,8677
Cambridge,13632,13632,0,22451,0,36083
Grafton,113139,112957,182,2886538,184000,3183677
Cavendish,318209,288733,29476,3248006,0,3566215
Rutland,670141,621826,48316,959024,0,1629166
Charleston,385,385,0,168655,0,169040
Charlotte,0,0,0,0,0,0
Chelsea,0,0,0,5886,0,5886
Chester,238095,219662,18433,1645284,464000,2347379
Chittenden,5414,5414,0,172937,0,178351
Clarendon,132942,130598,2343,3137,60000,196078
Colchester,15955,15955,0,0,0,15955
Concord,1477,1477,0,0,0,1477
Corinth,49038,49038,0,53456,0,102494
Cornwall,1415,1415,0,0,0,1415
Coventry,13791,12842,949,17768,0,31559
Craftsbury,0,0,0,16265,0,16265
Shrewsbury,102956,101349,1606,3001918,0,3104873
Danby,59434,53000,6434,147915,58000,265349
Danville,9722,9722,0,60788,0,70510
Derby,0,0,0,0,0,0
Dorset,91223,87793,3430,13241,0,104464
Dover,169248,159923,9325,456882,0,626130
Dummerston,4176,4176,0,52050,0,56226
Duxbury,36275,30409,5866,629595,0,665870
Berkshire,0,0,0,0,0,0
Burke,3545,3545,0,0,0,3545
Fairfield,0,0,0,0,0,0
Hardwick,38192,29853,8340,23473,0,61666
East Haven,0,0,0,0,0,0
Middlebury,45408,44542,866,64823,0,110231
East Montpelier,41386,36613,4773,32135,0,73521
Randolph,401538,381417,20122,733461,0,1135000
Thetford,49703,47387,2316,22799,0,72502
Wallingford,196928,186603,10326,274952,0,471881
Eden,0,0,0,0,0,0
Elmore,2705,2705,0,46318,0,49023
Enosburg,4080,4080,0,3141,0,7221
Essex,0,0,0,0,0,0
Fair Haven,51312,41251,10061,1693,0,53005
Fairfax,554,554,0,0,0,554
Fairlee,2359,2359,0,0,0,2359
Fayston,0,0,0,11264,0,11264
Ferrisburgh,4476,4476,0,0,0,4476
Pittsford,65535,45723,19812,61590,0,127125
Franklin,0,0,0,0,0,0
Stockbridge,558256,521541,36715,4426029,1700000,6684285
Lunenburg,10846,10846,0,24347,0,35193
Glover,0,0,0,0,0,0
Goshen,0,0,0,38522,0,38522
Grand Isle,0,0,0,0,0,0
Granville,118310,115813,2497,528820,550000,1197130
Greensboro,719,719,0,35142,0,35861
Groton,43235,41054,2180,524113,0,567347
Guildhall,0,0,0,0,0,0
Guilford,27050,27050,0,860816,0,887866
Halifax,65001,63673,1328,3971322,0,4036323
Hancock,150818,147135,3683,1414492,0,1565310
Hartford,760554,692504,68050,2120389,1400000,4280943
Hartland,79659,79005,654,127460,0,207119
Highgate,0,0,0,0,0,0
Hinesburg,0,0,0,0,0,0
Holland,0,0,0,13460,0,13460
Hubbardton,0,0,0,87885,0,87885
Huntington,15684,15253,431,128105,0,143789
Hyde Park,5053,5053,0,0,0,5053
Ira,1402,1402,0,49841,0,51243
Irasburg,14476,14476,0,45879,0,60355
Isle La Motte,0,0,0,0,0,0
Whitingham,165276,154574,10702,964893,0,1130169
Jamaica,238451,227836,10615,4945320,0,5183771
Jay,6060,6060,0,79461,0,85521
Jericho,161,161,0,10284,0,10445
Johnson,2790,2790,0,19622,0,22412
Richmond,222519,212693,9826,122791,0,345310
Killington,108158,107004,1154,2109137,0,2217295
Kirby,0,0,0,5864,0,5864
Landgrove,0,0,0,4093,0,4093
Leicester,10290,10290,0,5435,0,15725
Lincoln,15763,15563,200,164124,0,179887
Londonderry,281015,274099,6916,194942,621000,1096957
Lowell,2125,2125,0,28415,0,30540
Ludlow,602342,578938,23404,2164318,0,2766660
Lyndon,112865,101649,11216,63143,0,176008
Manchester,144971,136185,8786,179158,0,324129
Marlboro,170343,160820,9523,881921,0,1052264
Marshfield,58026,52761,5265,57489,0,115515
Mendon,23911,23328,583,1502837,0,1526748
Middlesex,47697,38420,9278,28632,95000,171330
Middletown Springs,26711,26711,0,68970,0,95681
Milton,7097,6947,150,46440,0,53537
Montgomery,13054,12076,978,68840,0,81894
Montpelier,1195196,1064657,130539,19745,0,1214941
Moretown,487322,469342,17980,1931323,0,2418645
Morgan,0,0,0,1570,0,1570
Morristown,0,0,0,17928,0,17928
Mount Tabor,19553,19553,0,7588,0,27141
New Haven,38261,36405,1856,0,0,38261
Newbury,11100,11100,0,49075,0,60175
Newfane,350807,342422,8385,2367170,341000,3058977
Newport,0,0,0,16392,0,16392
South Burlington,9396,9396,0,6033,0,15429
North Hero,0,0,0,0,0,0
Pomfret,60082,59707,375,766905,0,826987
Pownal,89957,81144,8813,44055,0,134012
Springfield,41424,39479,1945,150268,0,191692
Troy,2550,1514,1036,84375,0,86925
Northfield,914009,794566,119443,1298417,1840000,4052426
Norton,0,0,0,0,0,0
Norwich,24124,24124,0,1119006,0,1143130
Orange,7241,7041,200,7126,0,14367
Orwell,3213,3213,0,55974,0,59187
Pawlet,145523,133157,12366,327839,0,473362
Peacham,7362,7162,200,44128,0,51490
Peru,2058,2058,0,276853,0,278911
Pittsfield,255817,223970,31847,953776,449000,1658593
Plainfield,2110,2110,0,22940,0,25050
Plymouth,257757,252277,5480,1392397,599000,2249154
Poultney,52972,50230,2742,123108,0,176080
Proctor,49490,46450,3039,51659,0,101148
Putney,41500,41500,0,89646,0,131146
Reading,219381,217946,1435,1686963,0,1906344
Readsboro,66841,65928,913,628125,367000,1061966
Richford,59784,59216,568,229331,0,289115
Ripton,5698,5698,0,112741,0,118439
Rochester,362745,328827,33918,2701099,273000,3336844
Roxbury,256425,250461,5964,1680117,0,1936542
Royalton,430368,408436,21932,1888525,393000,2711893
Rupert,27895,27895,0,384489,0,412384
